date,gasoline
1991-01-06,6621
1991-01-13,6433
1991-01-20,6582
1991-01-27,7224
1991-02-03,6875
1991-02-10,6947
1991-02-17,7328
1991-02-24,6777
1991-03-03,7503
1991-03-10,6916
1991-03-17,7045
1991-03-24,6956
1991-03-31,6976
1991-04-07,7185
1991-04-14,6899
1991-04-21,7396
1991-04-28,7287
1991-05-05,7220
1991-05-12,7651
1991-05-19,7720
1991-05-26,7543
1991-06-02,7961
1991-06-09,7327
1991-06-16,7380
1991-06-23,7501
1991-06-30,7605
1991-07-07,7584
1991-07-14,7401
1991-07-21,7505
1991-07-28,7427
1991-08-04,6993
1991-08-11,7402
1991-08-18,7391
1991-08-25,7088
1991-09-01,6949
1991-09-08,7506
1991-09-15,7396
1991-09-22,7421
1991-09-29,7159
1991-10-06,7379
1991-10-13,7369
1991-10-20,6652
1991-10-27,6769
1991-11-03,6828
1991-11-10,7344
1991-11-17,7447
1991-11-24,7186
1991-12-01,6642
1991-12-08,6788
1991-12-15,6783
1991-12-22,7037
1991-12-29,7112
1992-01-05,7039
1992-01-12,6576
1992-01-19,7002
1992-01-26,6770
1992-02-02,7002
1992-02-09,6806
1992-02-16,7221
1992-02-23,7379
1992-03-01,7027
1992-03-08,7744
1992-03-15,6464
1992-03-22,7376
1992-03-29,7899
1992-04-05,7318
1992-04-12,7174
1992-04-19,7086
1992-04-26,7774
1992-05-03,7104
1992-05-10,7129
1992-05-17,7407
1992-05-24,7701
1992-05-31,7572
1992-06-07,7813
1992-06-14,7422
1992-06-21,7792
1992-06-28,7433
1992-07-05,7796
1992-07-12,7700
1992-07-19,7365
1992-07-26,7814
1992-08-02,7326
1992-08-09,7473
1992-08-16,7181
1992-08-23,7286
1992-08-30,7293
1992-09-06,7514
1992-09-13,7204
1992-09-20,7276
1992-09-27,7509
1992-10-04,6923
1992-10-11,7056
1992-10-18,7240
1992-10-25,7138
1992-11-01,7432
1992-11-08,7354
1992-11-15,7400
1992-11-22,7596
1992-11-29,7358
1992-12-06,6852
1992-12-13,6726
1992-12-20,7131
1992-12-27,6603
1993-01-03,7322
1993-01-10,6779
1993-01-17,7325
1993-01-24,6961
1993-01-31,7188
1993-02-07,7100
1993-02-14,7239
1993-02-21,7194
1993-02-28,6964
1993-03-07,6797
1993-03-14,7561
1993-03-21,7392
1993-03-28,7470
1993-04-04,7657
1993-04-11,7649
1993-04-18,7295
1993-04-25,7364
1993-05-02,7018
1993-05-09,7740
1993-05-16,7392
1993-05-23,7804
1993-05-30,7868
1993-06-06,7578
1993-06-13,8113
1993-06-20,7916
1993-06-27,7336
